Spanish,English
que,what
no,not
a,to
la,the
el,the
y,Y
es,it is
en,on
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,in order to
está,this
mi,me
pero,but
sí,Yes
si,Yes
bien,well
eso,that
su,its
las,the
yo,me
del,of
como,What
aquí,here
tu,you
al,to the
más,more
le,you
esto,this
todo,everything
ya,already
estoy,I'm
ahora,now
muy,very
ha,ha
esta,is
así,So
vamos,go
algo,something
hay,there are
bueno,well
tengo,I have
él,he
cuando,when
estás,are
sé,he
tú,your
nos,us
nada,nothing
cómo,as
este,this
o,or
he,I
ser,to be
tiene,have
puedo,may l
ella,her
quiero,I want
hacer,make
fue,It was
gracias,Thank you
vez,time
era,it was
soy,I am
sólo,alone
todos,everyone
porque,because
son,They are
tienes,do you have
creo,I think
voy,I go
sabes,you know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,then
hola,Hello
solo,only
verdad,truth
casa,home
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,he
oh,oh
favor,favor
mucho,a lot of
mí,my
quieres,you want
siento,I feel
señor,Mister
mejor,best
hace,makes
has,you
decir,say
también,also
sobre,on
dios,God
sin,without
tenemos,have
están,is it so
ti,you
puedes,you may
ver,watch
hombre,man
vida,lifetime
alguien,someone
cosas,things
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,to be
ni,neither
poco,little
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,U.S
parece,It seems
gente,people
sea,be
padre,dad
mira,sight
mismo,same
dijo,He said
nadie,no one
quiere,wants
podría,might
hablar,speak
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,happens
fuera,outside
después,later
han,they have
desde,since
dinero,money
mundo,world
claro,Sure
momento,moment
les,them
tener,to have
estado,condition
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,doing
donde,where
seguro,insurance
sabe,knows
podemos,we can
tus,your
espera,waiting
nuevo,new
sido,been
cosa,thing
hijo,child
allí,there
menos,less
tipo,kind
amigo,friend
gran,great
nuestro,our
mujer,woman
mamá,Mommy
luego,soon
papá,father
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
oye,hears
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
realmente,Really
estas,these
aún,still
mío,Own
toda,all
hacerlo,do it
cada,each
visto,viewed
importa,matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,made
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,trouble
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,past
familia,family
estos,these
policía,policeman
debería,should
ustedes,your
chica,girl
esos,those
chicos,Boys
cuenta,account
haces,you do
todavía,yet
salir,leave
algún,some
vaya,Wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,Dear
digo,say
van,go
hombres,mens
buenas,good
somos,are
cualquier,any
forma,shape
mientras,While
lado,side
debo,I shall
sería,would
caso,case
pueden,they can
pasó,step
primera,first
genial,cool
chico,guy
supuesto,supposed
hice,I did
pues,well
adiós,goodbye
muchas,many
personas,people
señora,Ms
volver,return
esas,those
quizá,maybe
contra,against
camino,road
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,story
iba,I was going
supongo,I suppose
nueva,new
entiendo,I get it
dentro,within
casi,almost
puerta,door
ves,you see
pasar,happen
primero,First
significa,Means
semana,week
hacia,toward
quizás,maybe
espero,I hope
juntos,together
año,year
niños,kids
pronto,early
tío,uncle
suerte,lucky
ciudad,town
siquiera,at least
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,let
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,afraid
jefe,boss
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you should
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,go ahead
encontrar,find
mano,hand
cinco,five
niño,boy
ninguna,none
otros,others
cara,expensive
cuidado,careful
bajo,under
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,Quite
fin,end
tomar,drink
único,unique
misma,same
escucha,listens
ningún,any
suficiente,enough
punto,point
cuándo,when
sigue,go on
haya,is
equipo,team
grande,big
necesita,needs to
llegar,to get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,even if
hubiera,had
primer,first
coche,car
hago,do
clase,class
cuatro,four
mas,more
dices,say
pequeño,small
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,same
loco,mad
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,Dyed
juego,play
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,cree
podía,I could
debemos,must
oportunidad,chance
teléfono,telephone
necesitamos,need
final,final
listo,clever
fiesta,party
muchos,Many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,guilt
abajo,under
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,question
chicas,girls
eran,they were
unas,nails
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Ms.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,food
morir,To die
conozco,know
dame,give to me
fácil,easy
comer,eat
vino,wine
lista,ready
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,fathers
habitación,bedroom
creer,believe
pensando,thinking
fueron,They were
dime,tell me
trata,treats
buscando,searching
tuve,I had
tampoco,either
amo,love
joven,young
podrías,could you
sola,alone
par,pair
única,only
hacen,make
seguir,follow
dr.,dr.
simplemente,simply
dicen,say
medio,half
puta,bitch
saben,they know
sentido,sense
hagas,you do
segura,safe
esperar,expect
lejos,far
arma,weapon
alto,high
pequeña,little
dólares,Dollars
seis,six
estaban,They were
seguridad,safety
maldita,damned
estuvo,he was
preocupes,worry
palabra,word
esperando,waiting
queda,remains
oficina,office
matar,kill
iré,I will go
cama,bed
además,what's more
último,latest
oído,hearing
habría,there would be
estará,will be
dio,it gave
recuerdo,I remember
siendo,being
acerca,about
tenga,have
luz,light
correcto,Right
ud.,You.
demonios,demons
nuestras,our
verte,to see you
dormir,to sleep
sitio,site
ayudar,to help
conseguir,get
di,gave
marido,husband
paz,peace
idiota,moron
plan,plan
dado,dice
cuanto,how much
peor,worse
murió,he died
pueblo,town
vivo,alive
venido,I come
john,john
basta,Enough
paso,He passed
deberíamos,we should
música,music
diga,tell
minuto,minute
anoche,last night
llamar,to call
piensa,think
país,country
digas,you say
rey,King
perdón,forgiveness
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,little girl
señorita,miss
diez,ten
lleva,carry
hospital,hospital
grandes,large
maldito,damned
otras,other
llamado,called
hacemos,we make
llevar,wear
fuego,fire
aqui,here
tuvo,He had
poner,set
calle,Street
acaba,just
prueba,proof
increíble,amazing
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,Lasted
empezar,start
afuera,outside
queremos,we want
perro,dog
cielo,Darling
jack,Jack
puesto,Market Stall
viaje,travel
detrás,behind
cuarto,bedroom
querida,Dear
haría,would do
preguntas,questions
piensas,think
querido,Dear
libre,free
buscar,search
cual,which
diré,I'll say
suena,sounds
jugar,play
cambio,change
película,movie
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,President
srta.,Ms.
irme,leave
ropa,clothing
perder,to lose
vuelve,comes back
agente,agent
palabras,words
información,information
raro,weird
hará,will
entiendes,You understand
éste,this
trabajando,working
tratando,treating
general,general
trato,treatment
usar,use
perfecto,perfect
derecho,right
modo,mode
ayer,Yesterday
conoces,you know
demás,the rest
quieras,want
podríamos,we could
noticias,news
asesino,assassin
encontrado,found
control,control
odio,hate
frente,front
sexo,sex
decirle,tell
estaré,I will be
divertido,fun
armas,weapons
recuerdas,remember
amiga,friend
grupo,group
asunto,affair
acabo,finished
mensaje,message
encima,on
atención,attention
diferente,different
uh,uh
cállate,shut up
daño,hurt
sucede,happens
cambiar,change
siguiente,following
sino,otherwise
the,the
seas,be
médico,doctor
boca,mouth
dejó,let
error,error
jamás,Never
largo,long
pena,pain
voz,voice
futuro,future
siente,feels
secreto,secret
baño,bath
mil,one thousand
decirte,tell you
sam,sam
pensaba,thought
novia,girlfriend
propia,own
sueño,dream
haz,do
fuerza,force
deben,should
supone,supposed
estábamos,we were
ambos,both of them
ay,Oh
estuve,was
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,loves
edad,age
darle,give him
pie,foot
negro,black
ganar,to win
york,york
aire,air
lamento,lament
verlo,see him
asesinato,murder
vio,he saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,s
cita,appointment
estaría,It would
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,deal
mente,mind
tuyo,of yours
campo,countryside
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,works
foto,Photo
abogado,attorney
loca,crazy
propio,own self
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,to pay
mató,he killed
llamo,I call
personal,personal
sientes,you feel
ocurre,occurs
ésta,is
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,had
viste,dresses
oficial,official
llegó,I arrive
compañía,company
relación,relationship
conoce,known
pase,happens
montón,heap
mejores,top
creí,thought
cena,Dinner
sentir,feel
través,through
accidente,accident
i,i
ellas,they
caja,box
tranquilo,calm
bonito,beautiful
eras,ages
asi,So
pudo,could
vive,it lives
vista,sight
estúpido,stupid
línea,line
caballeros,gentlemen
haremos,will
dan,give
quédate,stay
tienda,store
comprar,to buy
entendido,understood
centro,center
salvo,except
mes,month
joe,joe
sol,Sun
tonto,fool
hambre,hunger
michael,Michael
mesa,table
respuesta,answer
completamente,completely
david,David
carta,letter
totalmente,totally
imposible,impossible
pruebas,tests
novio,groom
normal,normal
gustan,like
frank,frank
pude,I could
charlie,charlie
traje,costume
dirección,direction
siete,seven
dijeron,they said
placer,pleasure
sean,are
tendrá,will have
barco,boat
blanco,White
tom,tom
profesor,teacher
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,I'd like
hubo,there was
george,george
programa,Program
carrera,race
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautifull
universidad,college
boda,wedding
decirme,tell me
cualquiera,any
tengas,you have
hacía,toward
estés,re
sala,room
llevo,I wear
decisión,decision
espere,Wait
don,Don
necesario,necessary
sal,Salt
entra,enters
prisa,rush
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,hear
abuela,Grandma
hicieron,they made
detective,detective
horrible,horrible
suelo,I usually
fotos,Photos
cárcel,jail
acá,here
io,io
mike,mike
siéntate,Sit down
decía,He said
intentando,trying
vámonos,Let's go
maldición,curse
silencio,be quiet
muerta,dead
capaz,capable
salió,he left
club,club
terminar,end up
temo,fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,half
terrible,terrible
llamó,I call
regalo,present
amable,nice
dulce,candy
muertos,dead
querías,wanted
ataque,attack
das,you give
navidad,Christmas
negocios,business
pudiera,could
ocho,eight
avión,airplane
investigación,investigation
acabó,just
juro,I swear
mantener,keep
ejército,army
papel,paper
partes,parts
ten,ten
gracioso,funny
diría,would say
principio,beginning
delante,in front of
teniente,lieutenant
deseo,wish
vayas,go
nave,ship
sale,comes out
basura,garbage
vine,came
contacto,Contact
esposo,husband
tren,train
encontramos,we find
dale,Go ahead
verdadero,TRUE
tuya,yours
alma,soul
hazlo,do it
disculpa,excuse
junto,together
anda,anda
tendré,I will have
matrimonio,marriage
saberlo,I know
locura,craziness
oro,gold
permiso,permit
director,director
peligro,danger
libertad,Liberty
alegro,glad
baja,short
tendremos,we will have
derecha,right
encuentra,find
pies,feet
segunda,second
maravilloso,marvelous
espacio,space
rato,little while
abuelo,Grandpa
esperaba,I expected
mirando,looking at
salud,Health
sorpresa,surprise
ninguno,none
miren,look
triste,sad
aun,yet
pensado,thought-out
maestro,teacher
según,according
infierno,hell
podrían,could
tipos,types
tía,aunt
crimen,crime
conocido,known
consejo,advice
ante,in view of
iglesia,church


